periodid,category,group,measure,value,ct_cust,date,value_jan2020,percent_change,name,liquidity
201902,Spending (card and cash),Unemployed,median,1675.7297920016122,3094,2019-02-01,1735.6688599118752,-0.034533700116798904,Spending (card and cash),High Prepandemic Liquidity
201902,Spending (total),Employed,mean,3807.6518840545787,77292,2019-02-01,4031.1357955514472,-0.055439440106059945,Spending (total),High Prepandemic Liquidity
201902,Spending (total),Employed,median,3026.3220327027248,77292,2019-02-01,3245.2620792526527,-0.06746451941420628,Spending (total),High Prepandemic Liquidity
201902,Spending (total),Unemployed,mean,3805.9155552756297,3094,2019-02-01,4071.806458017828,-0.06530047670085848,Spending (total),High Prepandemic Liquidity
201902,Spending (total),Unemployed,median,3027.987034214632,3094,2019-02-01,3286.9501779212305,-0.07878523545810934,Spending (total),High Prepandemic Liquidity
201903,Checking account balance,Employed,mean,6282.854305970677,77292,2019-03-01,5988.703763237119,0.04911756439503012,Checking account balance,High Prepandemic Liquidity
201903,Checking account balance,Employed,median,3964.005959592907,77292,2019-03-01,3554.72696698056,0.11513654815520047,Checking account balance,High Prepandemic Liquidity
201903,Checking account balance,Unemployed,mean,5802.836121930666,3094,2019-03-01,5537.005801149097,0.04800976020765613,Checking account balance,High Prepandemic Liquidity
201903,Checking account balance,Unemployed,median,3532.402595756084,3094,2019-03-01,3146.4020260057205,0.12267999021103537,Checking account balance,High Prepandemic Liquidity
201903,Income,Employed,mean,5922.108904061817,77292,2019-03-01,5638.715585548314,0.050258487808787944,Income,High Prepandemic Liquidity
201903,Income,Employed,median,4720.8340750732705,77292,2019-03-01,4517.823198744961,0.04493555134798233,Income,High Prepandemic Liquidity
201903,Income,Unemployed,mean,5810.316218315707,3094,2019-03-01,5535.573607437212,0.04963218455073393,Income,High Prepandemic Liquidity
201903,Income,Unemployed,median,4569.787220679163,3094,2019-03-01,4418.926637643963,0.03413964417287407,Income,High Prepandemic Liquidity
201903,Spending (card and cash),Employed,mean,2298.234470362348,77292,2019-03-01,2077.1082330490813,0.10645869762340965,Spending (card and cash),High Prepandemic Liquidity
201903,Spending (card and cash),Employed,median,1908.614058732704,77292,2019-03-01,1707.6030978040394,0.11771527071317855,Spending (card and cash),High Prepandemic Liquidity
201903,Spending (card and cash),Unemployed,mean,2304.8332066301773,3094,2019-03-01,2112.494391944918,0.09104820132004154,Spending (card and cash),High Prepandemic Liquidity
201903,Spending (card and cash),Unemployed,median,1901.8484003985188,3094,2019-03-01,1735.6688599118752,0.0957438047802972,Spending (card and cash),High Prepandemic Liquidity
201903,Spending (total),Employed,mean,4152.310076340495,77292,2019-03-01,4031.1357955514472,0.030059587901446694,Spending (total),High Prepandemic Liquidity
201903,Spending (total),Employed,median,3385.807029189595,77292,2019-03-01,3245.2620792526527,0.04330773493933293,Spending (total),High Prepandemic Liquidity
201903,Spending (total),Unemployed,mean,4151.0573418778085,3094,2019-03-01,4071.806458017828,0.019463322895401092,Spending (total),High Prepandemic Liquidity
201903,Spending (total),Unemployed,median,3414.3235185391695,3094,2019-03-01,3286.9501779212305,0.03875122339046033,Spending (total),High Prepandemic Liquidity
201904,Checking account balance,Employed,mean,6000.144301686536,77294,2019-04-01,5988.703763237119,0.001910353041612467,Checking account balance,High Prepandemic Liquidity
201904,Checking account balance,Employed,median,3647.5349105489477,77294,2019-04-01,3554.72696698056,0.026108318425147603,Checking account balance,High Prepandemic Liquidity
201904,Checking account balance,Unemployed,mean,5610.971881563938,3094,2019-04-01,5537.005801149097,0.013358497908651401,Checking account balance,High Prepandemic Liquidity
201904,Checking account balance,Unemployed,median,3360.7993233885095,3094,2019-04-01,3146.4020260057205,0.06814046508066895,Checking account balance,High Prepandemic Liquidity
201904,Income,Employed,mean,5511.812207318515,77294,2019-04-01,5638.715585548314,-0.022505724274344496,Income,High Prepandemic Liquidity
201904,Income,Employed,median,4328.256463976642,77294,2019-04-01,4517.823198744961,-0.041959750620825464,Income,High Prepandemic Liquidity
201904,Income,Unemployed,mean,5475.668371596982,3094,2019-04-01,5535.573607437212,-0.010821866004951164,Income,High Prepandemic Liquidity
201904,Income,Unemployed,median,4305.694904891588,3094,2019-04-01,4418.926637643963,-0.02562426173536725,Income,High Prepandemic Liquidity
201904,Spending (card and cash),Employed,mean,2198.46628026071,77294,2019-04-01,2077.1082330490813,0.05842644368776195,Spending (card and cash),High Prepandemic Liquidity
201904,Spending (card and cash),Employed,median,1817.0949010508673,77294,2019-04-01,1707.6030978040394,0.06412017136044867,Spending (card and cash),High Prepandemic Liquidity
201904,Spending (card and cash),Unemployed,mean,2211.3292098933925,3094,2019-04-01,2112.494391944918,0.046785836840721684,Spending (card and cash),High Prepandemic Liquidity
201904,Spending (card and cash),Unemployed,median,1795.8979316057535,3094,2019-04-01,1735.6688599118752,0.03470078485877548,Spending (card and cash),High Prepandemic Liquidity
201904,Spending (total),Employed,mean,4252.0642336744395,77294,2019-04-01,4031.1357955514472,0.054805506271159876,Spending (total),High Prepandemic Liquidity
201904,Spending (total),Employed,median,3410.5156497620433,77294,2019-04-01,3245.2620792526527,0.050921486916534864,Spending (total),High Prepandemic Liquidity
201904,Spending (total),Unemployed,mean,4207.791065823968,3094,2019-04-01,4071.806458017828,0.03339662855005576,Spending (total),High Prepandemic Liquidity
201904,Spending (total),Unemployed,median,3398.2624036208863,3094,2019-04-01,3286.9501779212305,0.03386489592916586,Spending (total),High Prepandemic Liquidity
201905,Checking account balance,Employed,mean,6201.718364240429,77293,2019-05-01,5988.703763237119,0.03556940022830024,Checking account balance,High Prepandemic Liquidity
201905,Checking account balance,Employed,median,3869.058436448192,77293,2019-05-01,3554.72696698056,0.08842633270780564,Checking account balance,High Prepandemic Liquidity
201905,Checking account balance,Unemployed,mean,5782.354065314293,3094,2019-05-01,5537.005801149097,0.044310638813901626,Checking account balance,High Prepandemic Liquidity
201905,Checking account balance,Unemployed,median,3493.92960119465,3094,2019-05-01,3146.4020260057205,0.11045237459057544,Checking account balance,High Prepandemic Liquidity
201905,Income,Employed,mean,5632.010858344503,77293,2019-05-01,5638.715585548314,-0.001189052205611385,Income,High Prepandemic Liquidity
201905,Income,Employed,median,4545.774592134019,77293,2019-05-01,4517.823198744961,0.00618691616724254,Income,High Prepandemic Liquidity
201905,Income,Unemployed,mean,5580.223551265506,3094,2019-05-01,5535.573607437212,0.008066001284547264,Income,High Prepandemic Liquidity
201905,Income,Unemployed,median,4526.262911476903,3094,2019-05-01,4418.926637643963,0.02429012351519133,Income,High Prepandemic Liquidity
201905,Spending (card and cash),Employed,mean,2273.0882749403477,77293,2019-05-01,2077.1082330490813,0.09435234946980997,Spending (card and cash),High Prepandemic Liquidity
201905,Spending (card and cash),Employed,median,1908.6505074592335,77293,2019-05-01,1707.6030978040394,0.11773661567710847,Spending (card and cash),High Prepandemic Liquidity
201905,Spending (card and cash),Unemployed,mean,2273.616509805539,3094,2019-05-01,2112.494391944918,0.07627102749952397,Spending (card and cash),High Prepandemic Liquidity
201905,Spending (card and cash),Unemployed,median,1877.870239043896,3094,2019-05-01,1735.6688599118752,0.08192886466790728,Spending (card and cash),High Prepandemic Liquidity
201905,Spending (total),Employed,mean,4101.209346450313,77293,2019-05-01,4031.1357955514472,0.017383078728381074,Spending (total),High Prepandemic Liquidity
201905,Spending (total),Employed,median,3336.0204521024834,77293,2019-05-01,3245.2620792526527,0.02796642324515486,Spending (total),High Prepandemic Liquidity
201905,Spending (total),Unemployed,mean,4108.713385075068,3094,2019-05-01,4071.806458017828,0.009064018007183483,Spending (total),High Prepandemic Liquidity
201905,Spending (total),Unemployed,median,3276.007273739609,3094,2019-05-01,3286.9501779212305,-0.00332919685096722,Spending (total),High Prepandemic Liquidity
201906,Checking account balance,Employed,mean,6061.174276705733,77291,2019-06-01,5988.703763237119,0.012101201918433224,Checking account balance,High Prepandemic Liquidity
201906,Checking account balance,Employed,median,3698.288680983153,77291,2019-06-01,3554.72696698056,0.04038614367182647,Checking account balance,High Prepandemic Liquidity
201906,Checking account balance,Unemployed,mean,5699.428276030272,3094,2019-06-01,5537.005801149097,0.029333990375713048,Checking account balance,High Prepandemic Liquidity
201906,Checking account balance,Unemployed,median,3325.5740396787187,3094,2019-06-01,3146.4020260057205,0.056945047769516144,Checking account balance,High Prepandemic Liquidity
201906,Income,Employed,mean,4789.694226322431,77291,2019-06-01,5638.715585548314,-0.15056999175519215,Income,High Prepandemic Liquidity
201906,Income,Employed,median,3769.269647660574,77291,2019-06-01,4517.823198744961,-0.16568898740710636,Income,High Prepandemic Liquidity
201906,Income,Unemployed,mean,4839.724446642918,3094,2019-06-01,5535.573607437212,-0.12570497840718775,Income,High Prepandemic Liquidity
201906,Income,Unemployed,median,3709.260154245941,3094,2019-06-01,4418.926637643963,-0.16059702764750905,Income,High Prepandemic Liquidity
201906,Spending (card and cash),Employed,mean,2186.9121885503882,77291,2019-06-01,2077.1082330490813,0.05286385839418717,Spending (card and cash),High Prepandemic Liquidity
201906,Spending (card and cash),Employed,median,1826.0503129731492,77291,2019-06-01,1707.6030978040394,0.0693646054644852,Spending (card and cash),High Prepandemic Liquidity
201906,Spending (card and cash),Unemployed,mean,2189.181862857367,3094,2019-06-01,2112.494391944918,0.036301857749238664,Spending (card and cash),High Prepandemic Liquidity
201906,Spending (card and cash),Unemployed,median,1821.059937523554,3094,2019-06-01,1735.6688599118752,0.049197793187356176,Spending (card and cash),High Prepandemic Liquidity
201906,Spending (total),Employed,mean,3919.866707109066,77291,2019-06-01,4031.1357955514472,-0.027602416312834777,Spending (total),High Prepandemic Liquidity
201906,Spending (total),Employed,median,3175.103447422313,77291,2019-06-01,3245.2620792526527,-0.02161878767168679,Spending (total),High Prepandemic Liquidity
201906,Spending (total),Unemployed,mean,3903.334361286085,3094,2019-06-01,4071.806458017828,-0.041375271263201396,Spending (total),High Prepandemic Liquidity
201906,Spending (total),Unemployed,median,3217.293833482472,3094,2019-06-01,3286.9501779212305,-0.02119178590130355,Spending (total),High Prepandemic Liquidity
201907,Checking account balance,Employed,mean,5693.255886247715,77292,2019-07-01,5988.703763237119,-0.049334194622060124,Checking account balance,High Prepandemic Liquidity
201907,Checking account balance,Employed,median,3219.3736915757777,77292,2019-07-01,3554.72696698056,-0.09434009377368202,Checking account balance,High Prepandemic Liquidity
201907,Checking account balance,Unemployed,mean,5379.708243322092,3094,2019-07-01,5537.005801149097,-0.028408414850199626,Checking account balance,High Prepandemic Liquidity
201907,Checking account balance,Unemployed,median,2948.0861928638737,3094,2019-07-01,3146.4020260057205,-0.06302940040806027,Checking account balance,High Prepandemic Liquidity
201907,Income,Employed,mean,5060.274419249073,77292,2019-07-01,5638.715585548314,-0.1025838522130379,Income,High Prepandemic Liquidity
201907,Income,Employed,median,3985.530514095003,77292,2019-07-01,4517.823198744961,-0.117820609889698,Income,High Prepandemic Liquidity
201907,Income,Unemployed,mean,5027.6244799278675,3094,2019-07-01,5535.573607437212,-0.09176088397178916,Income,High Prepandemic Liquidity
201907,Income,Unemployed,median,3869.1797329481424,3094,2019-07-01,4418.926637643963,-0.12440733910643254,Income,High Prepandemic Liquidity
201907,Spending (card and cash),Employed,mean,2197.3499508404334,77292,2019-07-01,2077.1082330490813,0.05788899965739569,Spending (card and cash),High Prepandemic Liquidity
201907,Spending (card and cash),Employed,median,1824.4956257420574,77292,2019-07-01,1707.6030978040394,0.06845415546993361,Spending (card and cash),High Prepandemic Liquidity
201907,Spending (card and cash),Unemployed,mean,2204.8230236948225,3094,2019-07-01,2112.494391944918,0.04370597720967195,Spending (card and cash),High Prepandemic Liquidity
201907,Spending (card and cash),Unemployed,median,1824.3069917894986,3094,2019-07-01,1735.6688599118752,0.051068573000799145,Spending (card and cash),High Prepandemic Liquidity
201907,Spending (total),Employed,mean,4075.256467161828,77292,2019-07-01,4031.1357955514472,0.010944972793789365,Spending (total),High Prepandemic Liquidity
201907,Spending (total),Employed,median,3312.4153241181884,77292,2019-07-01,3245.2620792526527,0.020692703154809644,Spending (total),High Prepandemic Liquidity
201907,Spending (total),Unemployed,mean,4044.2707324353432,3094,2019-07-01,4071.806458017828,-0.006762533009952887,Spending (total),High Prepandemic Liquidity
201907,Spending (total),Unemployed,median,3308.7339405044454,3094,2019-07-01,3286.9501779212305,0.006627347968198194,Spending (total),High Prepandemic Liquidity
201908,Checking account balance,Employed,mean,5966.037985848896,77291,2019-08-01,5988.703763237119,-0.003784755146407748,Checking account balance,High Prepandemic Liquidity
201908,Checking account balance,Employed,median,3559.8335767219023,77291,2019-08-01,3554.72696698056,0.0014365687685093942,Checking account balance,High Prepandemic Liquidity
201908,Checking account balance,Unemployed,mean,5576.247332828564,3094,2019-08-01,5537.005801149097,0.0070871393472846655,Checking account balance,High Prepandemic Liquidity
201908,Checking account balance,Unemployed,median,3262.727313452316,3094,2019-08-01,3146.4020260057205,0.036970891349910495,Checking account balance,High Prepandemic Liquidity
201908,Income,Employed,mean,5528.780232048295,77291,2019-08-01,5638.715585548314,-0.019496523956941014,Income,High Prepandemic Liquidity
201908,Income,Employed,median,4435.741829790651,77291,2019-08-01,4517.823198744961,-0.018168344652599977,Income,High Prepandemic Liquidity
201908,Income,Unemployed,mean,5448.830436478584,3094,2019-08-01,5535.573607437212,-0.015670132331378595,Income,High Prepandemic Liquidity
201908,Income,Unemployed,median,4340.574665179067,3094,2019-08-01,4418.926637643963,-0.017730996436426616,Income,High Prepandemic Liquidity
201908,Spending (card and cash),Employed,mean,2251.6397773219,77291,2019-08-01,2077.1082330490813,0.0840262156279723,Spending (card and cash),High Prepandemic Liquidity
201908,Spending (card and cash),Employed,median,1888.4429121119651,77291,2019-08-01,1707.6030978040394,0.10590272091944786,Spending (card and cash),High Prepandemic Liquidity
201908,Spending (card and cash),Unemployed,mean,2276.3001721741452,3094,2019-08-01,2112.494391944918,0.07754140359085904,Spending (card and cash),High Prepandemic Liquidity
201908,Spending (card and cash),Unemployed,median,1884.8427260311753,3094,2019-08-01,1735.6688599118752,0.08594604049465637,Spending (card and cash),High Prepandemic Liquidity
201908,Spending (total),Employed,mean,4057.3209509983576,77291,2019-08-01,4031.1357955514472,0.006495726458981332,Spending (total),High Prepandemic Liquidity
201908,Spending (total),Employed,median,3299.6162255830936,77291,2019-08-01,3245.2620792526527,0.016748769437739286,Spending (total),High Prepandemic Liquidity
201908,Spending (total),Unemployed,mean,4083.970183101553,3094,2019-08-01,4071.806458017828,0.0029873043351000828,Spending (total),High Prepandemic Liquidity
201908,Spending (total),Unemployed,median,3332.645418488641,3094,2019-08-01,3286.9501779212305,0.013902018008776107,Spending (total),High Prepandemic Liquidity
201909,Checking account balance,Employed,mean,5659.120231072318,77290,2019-09-01,5988.703763237119,-0.05503420192329711,Checking account balance,High Prepandemic Liquidity
201909,Checking account balance,Employed,median,3176.348834053459,77290,2019-09-01,3554.72696698056,-0.1064436555723719,Checking account balance,High Prepandemic Liquidity
201909,Checking account balance,Unemployed,mean,5330.33343547902,3094,2019-09-01,5537.005801149097,-0.03732565453104386,Checking account balance,High Prepandemic Liquidity
201909,Checking account balance,Unemployed,median,2902.811170109999,3094,2019-09-01,3146.4020260057205,-0.07741885934549642,Checking account balance,High Prepandemic Liquidity
201909,Income,Employed,mean,4867.670195998592,77290,2019-09-01,5638.715585548314,-0.13674131597022998,Income,High Prepandemic Liquidity
201909,Income,Employed,median,3822.558326376045,77290,2019-09-01,4517.823198744961,-0.15389377622436806,Income,High Prepandemic Liquidity
201909,Income,Unemployed,mean,4907.205935098172,3094,2019-09-01,5535.573607437212,-0.11351446424536904,Income,High Prepandemic Liquidity
201909,Income,Unemployed,median,3785.5284842666683,3094,2019-09-01,4418.926637643963,-0.14333755803536108,Income,High Prepandemic Liquidity
201909,Spending (card and cash),Employed,mean,2077.27864117398,77290,2019-09-01,2077.1082330490813,8.204104253550781e-5,Spending (card and cash),High Prepandemic Liquidity
201909,Spending (card and cash),Employed,median,1728.066520391337,77290,2019-09-01,1707.6030978040394,0.011983711328243274,Spending (card and cash),High Prepandemic Liquidity
201909,Spending (card and cash),Unemployed,mean,2094.305230929421,3094,2019-09-01,2112.494391944918,-0.008610276592853072,Spending (card and cash),High Prepandemic Liquidity
201909,Spending (card and cash),Unemployed,median,1739.9226950091006,3094,2019-09-01,1735.6688599118752,0.002450833333174751,Spending (card and cash),High Prepandemic Liquidity
201909,Spending (total),Employed,mean,3881.663868092524,77290,2019-09-01,4031.1357955514472,-0.03707935803697626,Spending (total),High Prepandemic Liquidity
201909,Spending (total),Employed,median,3144.260790461003,77290,2019-09-01,3245.2620792526527,-0.031122690964579647,Spending (total),High Prepandemic Liquidity
201909,Spending (total),Unemployed,mean,3950.7597012302754,3094,2019-09-01,4071.806458017828,-0.029728023184696917,Spending (total),High Prepandemic Liquidity
201909,Spending (total),Unemployed,median,3202.82917536149,3094,2019-09-01,3286.9501779212305,-0.025592417896927566,Spending (total),High Prepandemic Liquidity
201910,Checking account balance,Employed,mean,5635.51540497462,77290,2019-10-01,5988.703763237119,-0.05897576040254626,Checking account balance,High Prepandemic Liquidity
201910,Checking account balance,Employed,median,3160.695978917021,77290,2019-10-01,3554.72696698056,-0.11084704724825467,Checking account balance,High Prepandemic Liquidity
201910,Checking account balance,Unemployed,mean,5294.1755733048485,3094,2019-10-01,5537.005801149097,-0.04385587383597367,Checking account balance,High Prepandemic Liquidity
201910,Checking account balance,Unemployed,median,2946.081381243384,3094,2019-10-01,3146.4020260057205,-0.06366657633278949,Checking account balance,High Prepandemic Liquidity
201910,Income,Employed,mean,5190.80885251044,77290,2019-10-01,5638.715585548314,-0.07943417720621193,Income,High Prepandemic Liquidity
201910,Income,Employed,median,4098.213037166498,77290,2019-10-01,4517.823198744961,-0.09287883635973837,Income,High Prepandemic Liquidity
201910,Income,Unemployed,mean,5231.134468184685,3094,2019-10-01,5535.573607437212,-0.05499685504019014,Income,High Prepandemic Liquidity
201910,Income,Unemployed,median,4189.444848392355,3094,2019-10-01,4418.926637643963,-0.051931568018508734,Income,High Prepandemic Liquidity
201910,Spending (card and cash),Employed,mean,2113.023828231642,77290,2019-10-01,2077.1082330490813,0.017291152483584593,Spending (card and cash),High Prepandemic Liquidity
201910,Spending (card and cash),Employed,median,1765.731299238468,77290,2019-10-01,1707.6030978040394,0.03404081516904056,Spending (card and cash),High Prepandemic Liquidity
201910,Spending (card and cash),Unemployed,mean,2099.519549100136,3094,2019-10-01,2112.494391944918,-0.006141953746365392,Spending (card and cash),High Prepandemic Liquidity
201910,Spending (card and cash),Unemployed,median,1728.6416010760518,3094,2019-10-01,1735.6688599118752,-0.004048732450140369,Spending (card and cash),High Prepandemic Liquidity
201910,Spending (total),Employed,mean,3951.6985944407324,77290,2019-10-01,4031.1357955514472,-0.019705910477731292,Spending (total),High Prepandemic Liquidity
201910,Spending (total),Employed,median,3210.1557488109743,77290,2019-10-01,3245.2620792526527,-0.010817718133187881,Spending (total),High Prepandemic Liquidity
201910,Spending (total),Unemployed,mean,3967.721699651395,3094,2019-10-01,4071.806458017828,-0.025562304947348125,Spending (total),High Prepandemic Liquidity
201910,Spending (total),Unemployed,median,3284.1520373665744,3094,2019-10-01,3286.9501779212305,-8.512877905638705e-4,Spending (total),High Prepandemic Liquidity
201911,Checking account balance,Employed,mean,6040.576202239041,77292,2019-11-01,5988.703763237119,0.008661713962268669,Checking account balance,High Prepandemic Liquidity
201911,Checking account balance,Employed,median,3599.692501397506,77292,2019-11-01,3554.72696698056,0.01264950440206114,Checking account balance,High Prepandemic Liquidity
201911,Checking account balance,Unemployed,mean,5607.092462176566,3094,2019-11-01,5537.005801149097,0.012657863030037575,Checking account balance,High Prepandemic Liquidity
201911,Checking account balance,Unemployed,median,3199.97419132951,3094,2019-11-01,3146.4020260057205,0.01702648449912103,Checking account balance,High Prepandemic Liquidity
201911,Income,Employed,mean,5512.513075948931,77292,2019-11-01,5638.715585548314,-0.022381428480420684,Income,High Prepandemic Liquidity
201911,Income,Employed,median,4452.587580404074,77292,2019-11-01,4517.823198744961,-0.014439612944350921,Income,High Prepandemic Liquidity
201911,Income,Unemployed,mean,5377.278285372323,3094,2019-11-01,5535.573607437212,-0.028596010692047202,Income,High Prepandemic Liquidity
201911,Income,Unemployed,median,4301.497499630188,3094,2019-11-01,4418.926637643963,-0.026574131603231188,Income,High Prepandemic Liquidity
201911,Spending (card and cash),Employed,mean,2178.0264454795497,77292,2019-11-01,2077.1082330490813,0.048585919031443936,Spending (card and cash),High Prepandemic Liquidity
201911,Spending (card and cash),Employed,median,1811.7949831670464,77292,2019-11-01,1707.6030978040394,0.06101645370460895,Spending (card and cash),High Prepandemic Liquidity
201911,Spending (card and cash),Unemployed,mean,2161.0647442790705,3094,2019-11-01,2112.494391944918,0.022991943798456704,Spending (card and cash),High Prepandemic Liquidity
201911,Spending (card and cash),Unemployed,median,1779.4104058507692,3094,2019-11-01,1735.6688599118752,0.02520155022030801,Spending (card and cash),High Prepandemic Liquidity
201911,Spending (total),Employed,mean,3960.8618822072654,77292,2019-11-01,4031.1357955514472,-0.017432782448493223,Spending (total),High Prepandemic Liquidity
201911,Spending (total),Employed,median,3221.655590877484,77292,2019-11-01,3245.2620792526527,-0.0072741392832609275,Spending (total),High Prepandemic Liquidity
201911,Spending (total),Unemployed,mean,3941.158940151572,3094,2019-11-01,4071.806458017828,-0.032085886009880604,Spending (total),High Prepandemic Liquidity
201911,Spending (total),Unemployed,median,3248.3301131153985,3094,2019-11-01,3286.9501779212305,-0.011749513292062308,Spending (total),High Prepandemic Liquidity
201912,Checking account balance,Employed,mean,5779.481222757693,77292,2019-12-01,5988.703763237119,-0.0349361980072852,Checking account balance,High Prepandemic Liquidity
201912,Checking account balance,Employed,median,3262.683460373515,77292,2019-12-01,3554.72696698056,-0.08215638200058761,Checking account balance,High Prepandemic Liquidity
201912,Checking account balance,Unemployed,mean,5376.883825639656,3094,2019-12-01,5537.005801149097,-0.028918513228974985,Checking account balance,High Prepandemic Liquidity
201912,Checking account balance,Unemployed,median,2896.594882090355,3094,2019-12-01,3146.4020260057205,-0.07939454076454733,Checking account balance,High Prepandemic Liquidity
201912,Income,Employed,mean,5403.335552536443,77292,2019-12-01,5638.715585548314,-0.04174355479377889,Income,High Prepandemic Liquidity
201912,Income,Employed,median,4230.998655492798,77292,2019-12-01,4517.823198744961,-0.06348733242412885,Income,High Prepandemic Liquidity
201912,Income,Unemployed,mean,5377.715508708922,3094,2019-12-01,5535.573607437212,-0.028517026404671464,Income,High Prepandemic Liquidity
201912,Income,Unemployed,median,4182.929565711936,3094,2019-12-01,4418.926637643963,-0.053405971921238526,Income,High Prepandemic Liquidity
201912,Spending (card and cash),Employed,mean,2355.6866575125705,77292,2019-12-01,2077.1082330490813,0.13411839596560227,Spending (card and cash),High Prepandemic Liquidity
201912,Spending (card and cash),Employed,median,1992.2032499766783,77292,2019-12-01,1707.6030978040394,0.16666645342739872,Spending (card and cash),High Prepandemic Liquidity
201912,Spending (card and cash),Unemployed,mean,2344.593815989517,3094,2019-12-01,2112.494391944918,0.1098698415151349,Spending (card and cash),High Prepandemic Liquidity
201912,Spending (card and cash),Unemployed,median,1939.9704148955218,3094,2019-12-01,1735.6688599118752,0.11770768013549526,Spending (card and cash),High Prepandemic Liquidity
201912,Spending (total),Employed,mean,4319.835312996259,77292,2019-12-01,4031.1357955514472,0.07161741307832026,Spending (total),High Prepandemic Liquidity
201912,Spending (total),Employed,median,3540.523811888253,77292,2019-12-01,3245.2620792526527,0.09098240001115587,Spending (total),High Prepandemic Liquidity
201912,Spending (total),Unemployed,mean,4236.636871155171,3094,2019-12-01,4071.806458017828,0.04048090567093987,Spending (total),High Prepandemic Liquidity
201912,Spending (total),Unemployed,median,3517.406836910913,3094,2019-12-01,3286.9501779212305,0.07011261093571863,Spending (total),High Prepandemic Liquidity
